"item_id	item_name	category	department"
"7197	Ingwer Shot	drinks_nos	drinks"
"7198	Daiquirie Sauerk. 0"
"7199	Early Russian 0"
"7200	Red Summer Kick 0"
"7201	Ingwer Shot Spezial	drinks_nos	drinks"
"7202	Hugo	drinks_nos	drinks"
"7203	Frucht Bowl	drinks_nos	drinks"
"7204	Schoko Bowl	drinks_nos	drinks"
"7205	Green Bowl	drinks_nos	drinks"
"7206	Banane-Nutella & Eierl.	sweets	food"
"7207	Kaese	snack	food"
"7208	Kaese u. Zwiebel	snack	food"
"7209	Kaese u. Schinken	snack	food"
"7210	Extra 1	snack	food"
"7211	Extra 2	snack	food"
"7212	Chicken Sandwich	fast_food	food"
"7213	Avocado Sandwich	fast_food	food"
"7216	ein euro	fast_food	food"
"7218	fuenfzig cent	fast_food	food"
"7219	Schokolade	sweets	food"
"7220	weisse Schokolade	sweets	food"
"7221	Pistazie	sweets	food"
"7222	Nougat	sweets	food"
"7224	Topping Schokolade-Nuss	sweets	food"
"7225	Holsten Pils Dose	beer	drinks"
"7226	Holsten Pils Dose 24x	beer	drinks"
"7227	Stone Enter Night Pilsn	beer	drinks"
"7228	Desperados Dose	beer	drinks"
"7229	Coca-Cola	soft_drink	drinks"
"7230	Coca-Cola Zero	soft_drink	drinks"
"7231	Lift Apfelschorle	soft_drink	drinks"
"7232	Vio Bio Limo Gurke Lim	soft_drink	drinks"
"7233	Vio Still	soft_drink	drinks"
"7234	Red Bull	energy_drink	drinks"
"7235	Muffin	snack	food"
"7236	Brezn	snack	food"
"7237	Extra 0"
"7238	Extra 1"
"7239	Extra 2"
"7240	Gebaeck	snack	food"
"7241	Egg Plate single	snack	food"
"7242	Ei Broetchen	snack	food"
"7243	Gemini	snack	food"
"7244	Moskito	snack	food"
"7245	Big Wheel	snack	food"
"7246	Medusa	snack	food"
"7247	Full service	camping	non_food"
"7248	Deposit	camping	non_food"
"7249	Single Boost	camping	non_food"
"7251	Extra Cabel	camping	non_food"
"7252	Deposit Refund	camping	non_food"
"7253	Spende 1 Eur	nos	other"
"7254	Spende 2 Eur	nos	other"
"7255	Spende 5 Eur	nos	other"
